start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,input_tokens
1749081600,1749168000,2025-06-05T00:00:00+00:00,2025-06-06T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,720.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,239584.0
1749168000,1749254400,2025-06-06T00:00:00+00:00,2025-06-07T00:00:00+00:00,,,,,,
1749254400,1749340800,2025-06-07T00:00:00+00:00,2025-06-08T00:00:00+00:00,,,,,,
1749340800,1749427200,2025-06-08T00:00:00+00:00,2025-06-09T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,651.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,388568.0
1749427200,1749513600,2025-06-09T00:00:00+00:00,2025-06-10T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1446.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,746968.0
1749513600,1749600000,2025-06-10T00:00:00+00:00,2025-06-11T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1956.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,1241769.0
1749600000,1749686400,2025-06-11T00:00:00+00:00,2025-06-12T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,972.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,559161.0
1749686400,1749772800,2025-06-12T00:00:00+00:00,2025-06-13T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1031.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,497671.0
1749772800,1749859200,2025-06-13T00:00:00+00:00,2025-06-14T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,833.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,425414.0
1749859200,1749945600,2025-06-14T00:00:00+00:00,2025-06-15T00:00:00+00:00,,,,,,
1749945600,1750032000,2025-06-15T00:00:00+00:00,2025-06-16T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,214.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,124483.0
1750032000,1750118400,2025-06-16T00:00:00+00:00,2025-06-17T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,196.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,45201.0
1750118400,1750204800,2025-06-17T00:00:00+00:00,2025-06-18T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2245.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,1155112.0
1750204800,1750291200,2025-06-18T00:00:00+00:00,2025-06-19T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1283.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,297423.0
1750291200,1750377600,2025-06-19T00:00:00+00:00,2025-06-20T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,859.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,342177.0
1750377600,1750464000,2025-06-20T00:00:00+00:00,2025-06-21T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,49703.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,8781870.0
1750464000,1750550400,2025-06-21T00:00:00+00:00,2025-06-22T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,20.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,13748.0
1750550400,1750636800,2025-06-22T00:00:00+00:00,2025-06-23T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,556.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,375893.0
1750636800,1750723200,2025-06-23T00:00:00+00:00,2025-06-24T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1613.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,894619.0
1750723200,1750809600,2025-06-24T00:00:00+00:00,2025-06-25T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,3920.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,1984033.0
1750809600,1750896000,2025-06-25T00:00:00+00:00,2025-06-26T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2016.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,867644.0
1750896000,1750982400,2025-06-26T00:00:00+00:00,2025-06-27T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,28320.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,19253737.0
1750982400,1751068800,2025-06-27T00:00:00+00:00,2025-06-28T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1407.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,930690.0
1751068800,1751155200,2025-06-28T00:00:00+00:00,2025-06-29T00:00:00+00:00,,,,,,
1751155200,1751241600,2025-06-29T00:00:00+00:00,2025-06-30T00:00:00+00:00,,,,,,
1751241600,1751328000,2025-06-30T00:00:00+00:00,2025-07-01T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1269.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,595410.0
1751328000,1751414400,2025-07-01T00:00:00+00:00,2025-07-02T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,126.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,30328.0
1751414400,1751500800,2025-07-02T00:00:00+00:00,2025-07-03T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,13098.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,8499207.0
1751500800,1751587200,2025-07-03T00:00:00+00:00,2025-07-04T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1911.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,675898.0
1751587200,1751673600,2025-07-04T00:00:00+00:00,2025-07-05T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2803.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,1270314.0
1751673600,1751760000,2025-07-05T00:00:00+00:00,2025-07-06T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,17.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,text-embedding-3-small,3209.0
