start_time,end_time,start_time_iso,end_time_iso
1764547200,1764633600,2025-12-01T00:00:00+00:00,2025-12-02T00:00:00+00:00
1764633600,1764720000,2025-12-02T00:00:00+00:00,2025-12-03T00:00:00+00:00
1764720000,1764806400,2025-12-03T00:00:00+00:00,2025-12-04T00:00:00+00:00
1764806400,1764892800,2025-12-04T00:00:00+00:00,2025-12-05T00:00:00+00:00
1764892800,1764979200,2025-12-05T00:00:00+00:00,2025-12-06T00:00:00+00:00
1764979200,1765065600,2025-12-06T00:00:00+00:00,2025-12-07T00:00:00+00:00
1765065600,1765152000,2025-12-07T00:00:00+00:00,2025-12-08T00:00:00+00:00
1765152000,1765238400,2025-12-08T00:00:00+00:00,2025-12-09T00:00:00+00:00
1765238400,1765324800,2025-12-09T00:00:00+00:00,2025-12-10T00:00:00+00:00
1765324800,1765411200,2025-12-10T00:00:00+00:00,2025-12-11T00:00:00+00:00
1765411200,1765497600,2025-12-11T00:00:00+00:00,2025-12-12T00:00:00+00:00
1765497600,1765584000,2025-12-12T00:00:00+00:00,2025-12-13T00:00:00+00:00
1765584000,1765670400,2025-12-13T00:00:00+00:00,2025-12-14T00:00:00+00:00
1765670400,1765756800,2025-12-14T00:00:00+00:00,2025-12-15T00:00:00+00:00
1765756800,1765843200,2025-12-15T00:00:00+00:00,2025-12-16T00:00:00+00:00
1765843200,1765929600,2025-12-16T00:00:00+00:00,2025-12-17T00:00:00+00:00
