start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,characters
1741046400,1741132800,2025-03-04T00:00:00+00:00,2025-03-05T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,50.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,6911.0
1741132800,1741219200,2025-03-05T00:00:00+00:00,2025-03-06T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,51.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,4560.0
1741219200,1741305600,2025-03-06T00:00:00+00:00,2025-03-07T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,185.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,16635.0
1741305600,1741392000,2025-03-07T00:00:00+00:00,2025-03-08T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,69.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,6026.0
1741392000,1741478400,2025-03-08T00:00:00+00:00,2025-03-09T00:00:00+00:00,,,,,,
1741478400,1741564800,2025-03-09T00:00:00+00:00,2025-03-10T00:00:00+00:00,,,,,,
1741564800,1741651200,2025-03-10T00:00:00+00:00,2025-03-11T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,140.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,12380.0
1741651200,1741737600,2025-03-11T00:00:00+00:00,2025-03-12T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,49.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,3833.0
1741737600,1741824000,2025-03-12T00:00:00+00:00,2025-03-13T00:00:00+00:00,,,,,,
1741824000,1741910400,2025-03-13T00:00:00+00:00,2025-03-14T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,18.0
1741910400,1741996800,2025-03-14T00:00:00+00:00,2025-03-15T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,166.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,13660.0
1741996800,1742083200,2025-03-15T00:00:00+00:00,2025-03-16T00:00:00+00:00,,,,,,
1742083200,1742169600,2025-03-16T00:00:00+00:00,2025-03-17T00:00:00+00:00,,,,,,
1742169600,1742256000,2025-03-17T00:00:00+00:00,2025-03-18T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,119.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,9850.0
1742256000,1742342400,2025-03-18T00:00:00+00:00,2025-03-19T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,55.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,tts-1,5622.0
