start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1743724800,1743811200,2025-04-04T00:00:00+00:00,2025-04-05T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,338.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-2024-11-20,False,default,2032556.0,88036.0,1335808.0,696748.0,696748.0,88036.0,1335808.0,0.0,0.0,0.0,0.0,0.0,0.0
1743724800,1743811200,2025-04-04T00:00:00+00:00,2025-04-05T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,271.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-2024-11-20,False,incentivized-tier,938868.0,59802.0,665728.0,273140.0,273140.0,59802.0,665728.0,0.0,0.0,0.0,0.0,0.0,0.0
1743724800,1743811200,2025-04-04T00:00:00+00:00,2025-04-05T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,43.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-search-preview-2025-03-11,False,default,232702.0,10241.0,0.0,232702.0,232702.0,10241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743811200,1743897600,2025-04-05T00:00:00+00:00,2025-04-06T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,28.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-2024-11-20,False,incentivized-tier,85270.0,6305.0,71296.0,13974.0,13974.0,6305.0,71296.0,0.0,0.0,0.0,0.0,0.0,0.0
1743811200,1743897600,2025-04-05T00:00:00+00:00,2025-04-06T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,28.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-search-preview-2025-03-11,False,default,87444.0,3789.0,0.0,87444.0,87444.0,3789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743897600,1743984000,2025-04-06T00:00:00+00:00,2025-04-07T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,65.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-2024-11-20,False,incentivized-tier,342167.0,10770.0,243200.0,98967.0,98967.0,10770.0,243200.0,0.0,0.0,0.0,0.0,0.0,0.0
1743897600,1743984000,2025-04-06T00:00:00+00:00,2025-04-07T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,1.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-search-preview-2025-03-11,False,default,2528.0,21.0,0.0,2528.0,2528.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1743984000,1744070400,2025-04-07T00:00:00+00:00,2025-04-08T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,536.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-2024-11-20,False,default,2256723.0,147799.0,1528192.0,728531.0,728531.0,147799.0,1528192.0,0.0,0.0,0.0,0.0,0.0,0.0
1743984000,1744070400,2025-04-07T00:00:00+00:00,2025-04-08T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,10.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-2024-08-06,False,incentivized-tier,22944.0,539.0,16256.0,6688.0,6688.0,539.0,16256.0,0.0,0.0,0.0,0.0,0.0,0.0
1743984000,1744070400,2025-04-07T00:00:00+00:00,2025-04-08T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,267.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-2024-11-20,False,incentivized-tier,919602.0,56851.0,654720.0,264882.0,264882.0,56851.0,654720.0,0.0,0.0,0.0,0.0,0.0,0.0
1743984000,1744070400,2025-04-07T00:00:00+00:00,2025-04-08T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,86.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-search-preview-2025-03-11,False,default,316343.0,25980.0,0.0,316343.0,316343.0,25980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1744070400,1744156800,2025-04-08T00:00:00+00:00,2025-04-09T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,803.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-2024-11-20,False,default,3295766.0,212509.0,2299008.0,996758.0,996758.0,212509.0,2299008.0,0.0,0.0,0.0,0.0,0.0,0.0
1744070400,1744156800,2025-04-08T00:00:00+00:00,2025-04-09T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,284.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-2024-11-20,False,incentivized-tier,927226.0,72516.0,640000.0,287226.0,287226.0,72516.0,640000.0,0.0,0.0,0.0,0.0,0.0,0.0
1744070400,1744156800,2025-04-08T00:00:00+00:00,2025-04-09T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,7.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,o3-mini-2025-01-31,False,incentivized-tier,38910.0,13900.0,23936.0,14974.0,14974.0,13900.0,23936.0,0.0,0.0,0.0,0.0,0.0,0.0
1744070400,1744156800,2025-04-08T00:00:00+00:00,2025-04-09T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,79.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o-search-preview-2025-03-11,False,default,291326.0,16448.0,0.0,291326.0,291326.0,16448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
