start_time,end_time,start_time_iso,end_time_iso,amount_value,amount_currency,line_item,project_id,organization_id,organization_name,project_name
1761955200,1762041600,2025-11-01T00:00:00+00:00,2025-11-02T00:00:00+00:00,,,,,,,
1762041600,1762128000,2025-11-02T00:00:00+00:00,2025-11-03T00:00:00+00:00,,,,,,,
1762128000,1762214400,2025-11-03T00:00:00+00:00,2025-11-04T00:00:00+00:00,10.383533210000001,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1762214400,1762300800,2025-11-04T00:00:00+00:00,2025-11-05T00:00:00+00:00,9.33043226,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1762300800,1762387200,2025-11-05T00:00:00+00:00,2025-11-06T00:00:00+00:00,8.156644989999998,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1762387200,1762473600,2025-11-06T00:00:00+00:00,2025-11-07T00:00:00+00:00,9.57042547,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1762473600,1762560000,2025-11-07T00:00:00+00:00,2025-11-08T00:00:00+00:00,7.144953299999998,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1762560000,1762646400,2025-11-08T00:00:00+00:00,2025-11-09T00:00:00+00:00,,,,,,,
1762646400,1762732800,2025-11-09T00:00:00+00:00,2025-11-10T00:00:00+00:00,0.017432,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1762732800,1762819200,2025-11-10T00:00:00+00:00,2025-11-11T00:00:00+00:00,11.442534310000001,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1762819200,1762905600,2025-11-11T00:00:00+00:00,2025-11-12T00:00:00+00:00,9.14203726,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1762905600,1762992000,2025-11-12T00:00:00+00:00,2025-11-13T00:00:00+00:00,8.92408316,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1762992000,1763078400,2025-11-13T00:00:00+00:00,2025-11-14T00:00:00+00:00,5.072883780000001,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1763078400,1763164800,2025-11-14T00:00:00+00:00,2025-11-15T00:00:00+00:00,9.67899921,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1763164800,1763251200,2025-11-15T00:00:00+00:00,2025-11-16T00:00:00+00:00,,,,,,,
1763251200,1763337600,2025-11-16T00:00:00+00:00,2025-11-17T00:00:00+00:00,0.21599024,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1763337600,1763424000,2025-11-17T00:00:00+00:00,2025-11-18T00:00:00+00:00,10.55352092,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1763424000,1763510400,2025-11-18T00:00:00+00:00,2025-11-19T00:00:00+00:00,10.529186730000001,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1763510400,1763596800,2025-11-19T00:00:00+00:00,2025-11-20T00:00:00+00:00,7.233045059999999,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
1763596800,1763683200,2025-11-20T00:00:00+00:00,2025-11-21T00:00:00+00:00,7.7394649300000005,usd,,proj_rWWnRmx3KGTV6zEBFJ783zcZ,org-DCh6mXCaHVgHhiNaJzFCzDcM,BCAVE,Default Project
