start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,num_requests,context_level
1749081600,1749168000,2025-06-05T00:00:00+00:00,2025-06-06T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,7.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,7.0,medium
1749168000,1749254400,2025-06-06T00:00:00+00:00,2025-06-07T00:00:00+00:00,,,,,,,
1749254400,1749340800,2025-06-07T00:00:00+00:00,2025-06-08T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,2.0,medium
1749340800,1749427200,2025-06-08T00:00:00+00:00,2025-06-09T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,6.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,6.0,medium
1749427200,1749513600,2025-06-09T00:00:00+00:00,2025-06-10T00:00:00+00:00,,,,,,,
1749513600,1749600000,2025-06-10T00:00:00+00:00,2025-06-11T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,21.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,21.0,medium
1749513600,1749600000,2025-06-10T00:00:00+00:00,2025-06-11T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,3.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o,3.0,medium
1749600000,1749686400,2025-06-11T00:00:00+00:00,2025-06-12T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,8.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,8.0,medium
1749686400,1749772800,2025-06-12T00:00:00+00:00,2025-06-13T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,44.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,44.0,medium
1749772800,1749859200,2025-06-13T00:00:00+00:00,2025-06-14T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,47.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,47.0,medium
1749859200,1749945600,2025-06-14T00:00:00+00:00,2025-06-15T00:00:00+00:00,,,,,,,
1749945600,1750032000,2025-06-15T00:00:00+00:00,2025-06-16T00:00:00+00:00,,,,,,,
1750032000,1750118400,2025-06-16T00:00:00+00:00,2025-06-17T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,14.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,14.0,medium
1750032000,1750118400,2025-06-16T00:00:00+00:00,2025-06-17T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,8.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o,8.0,medium
1750118400,1750204800,2025-06-17T00:00:00+00:00,2025-06-18T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,7.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,7.0,medium
1750118400,1750204800,2025-06-17T00:00:00+00:00,2025-06-18T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,6.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o,6.0,medium
1750204800,1750291200,2025-06-18T00:00:00+00:00,2025-06-19T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,40.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,40.0,medium
1750291200,1750377600,2025-06-19T00:00:00+00:00,2025-06-20T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,52.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,52.0,medium
1750291200,1750377600,2025-06-19T00:00:00+00:00,2025-06-20T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,16.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o,16.0,medium
1750377600,1750464000,2025-06-20T00:00:00+00:00,2025-06-21T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,82.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,82.0,medium
1750377600,1750464000,2025-06-20T00:00:00+00:00,2025-06-21T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,6.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_jSyp76xB5RvqeD9e,gpt-4o,6.0,medium
1750464000,1750550400,2025-06-21T00:00:00+00:00,2025-06-22T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,12.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,12.0,medium
1750550400,1750636800,2025-06-22T00:00:00+00:00,2025-06-23T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,12.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,12.0,medium
1750636800,1750723200,2025-06-23T00:00:00+00:00,2025-06-24T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,16.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4o,16.0,medium
