start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1761955200,1762041600,2025-11-01T00:00:00+00:00,2025-11-02T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,2.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4.1-2025-04-14,False,incentivized-tier,8249.0,874.0,2048.0,6201.0,6201.0,874.0,2048.0,0.0,0.0,0.0,0.0,0.0,0.0
1761955200,1762041600,2025-11-01T00:00:00+00:00,2025-11-02T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,48.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-5-2025-08-07,False,incentivized-tier,223093.0,53759.0,171520.0,51573.0,51573.0,53759.0,171520.0,0.0,0.0,0.0,0.0,0.0,0.0
1762041600,1762128000,2025-11-02T00:00:00+00:00,2025-11-03T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,10.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-5-2025-08-07,False,incentivized-tier,220546.0,11215.0,8832.0,211714.0,211714.0,11215.0,8832.0,0.0,0.0,0.0,0.0,0.0,0.0
1762128000,1762214400,2025-11-03T00:00:00+00:00,2025-11-04T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,122.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4.1-2025-04-14,False,default,787148.0,28712.0,455296.0,331852.0,331852.0,28712.0,455296.0,0.0,0.0,0.0,0.0,0.0,0.0
1762128000,1762214400,2025-11-03T00:00:00+00:00,2025-11-04T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,464.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-5-2025-08-07,False,default,3381516.0,659001.0,1786240.0,1595276.0,1595276.0,659001.0,1786240.0,0.0,0.0,0.0,0.0,0.0,0.0
1762128000,1762214400,2025-11-03T00:00:00+00:00,2025-11-04T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,30.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-5-search-api-2025-10-14,False,default,185783.0,4900.0,117120.0,68663.0,68663.0,4900.0,117120.0,0.0,0.0,0.0,0.0,0.0,0.0
1762128000,1762214400,2025-11-03T00:00:00+00:00,2025-11-04T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,15.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4.1-2025-04-14,False,incentivized-tier,55096.0,1893.0,24960.0,30136.0,30136.0,1893.0,24960.0,0.0,0.0,0.0,0.0,0.0,0.0
1762128000,1762214400,2025-11-03T00:00:00+00:00,2025-11-04T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,146.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-5-2025-08-07,False,incentivized-tier,740111.0,201709.0,476928.0,263183.0,263183.0,201709.0,476928.0,0.0,0.0,0.0,0.0,0.0,0.0
1762128000,1762214400,2025-11-03T00:00:00+00:00,2025-11-04T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,4.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-5-mini-2025-08-07,False,incentivized-tier,33620.0,2445.0,0.0,33620.0,33620.0,2445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762214400,1762300800,2025-11-04T00:00:00+00:00,2025-11-05T00:00:00+00:00,proj_rWWnRmx3KGTV6zEBFJ783zcZ,59.0,user-M3EyYIqPZiZUWbrUDrbYUAFE,key_hJqZHx8lZzplhoPb,gpt-4.1-2025-04-14,False,default,297804.0,7531.0,161536.0,136268.0,136268.0,7531.0,161536.0,0.0,0.0,0.0,0.0,0.0,0.0
