usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,cost_type
2025-12-01,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,1.41,token
2025-12-01,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.51,token
2025-12-02,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,5.53,token
2025-12-02,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.99,token
2025-12-03,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.33,token
2025-12-03,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.18,token
2025-12-04,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.08,token
2025-12-04,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.03,token
2025-12-05,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.73,token
2025-12-05,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.41,token
2025-12-08,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.09,token
2025-12-08,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.02,token
2025-12-09,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.16,token
2025-12-09,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.10,token
2025-12-11,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.02,token
2025-12-11,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.01,token
2025-12-12,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.28,token
2025-12-12,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.14,token
2025-12-15,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.23,token
2025-12-15,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.09,token
2025-12-16,Claude Opus 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.40,token
2025-12-16,Claude Opus 4,Default,BcaveKey,message,≤ 200k,output,0.26,token
2025-12-16,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.07,token
2025-12-16,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.01,token
