usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count
2025-05-05,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,19255,0,0,0,2202,0
2025-05-07,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,15327,0,0,0,1452,0
2025-05-07,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,19910,0,0,0,1110,0
2025-05-08,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,69214,0,0,0,3377,0
2025-05-08,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,72572,0,0,0,4087,0
2025-05-09,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,2932855,0,0,0,150536,0
2025-05-12,claude-3-5-sonnet-20241022,BcaveKey,Default,standard,≤ 200k,74696,394486,0,2175959,53291,0
2025-05-12,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,102928,0,0,0,4986,0
2025-05-12,claude-3-opus-20240229,BcaveKey,Default,standard,≤ 200k,19,0,0,0,53,0
2025-05-13,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,6731,0,0,0,227,0
2025-05-13,claude-3-5-sonnet-20241022,BcaveKey,Default,standard,≤ 200k,157929,978577,0,5741260,133644,0
2025-05-13,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,63623,0,0,0,5360,0
2025-05-13,claude-3-haiku-20240307,BcaveKey,Default,standard,≤ 200k,608,60959,0,407204,3772,0
2025-05-14,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,36239,0,0,0,672,0
2025-05-14,claude-3-5-sonnet-20241022,BcaveKey,Default,standard,≤ 200k,158751,1160108,0,4419144,110991,0
2025-05-14,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,58977,0,0,0,6675,0
2025-05-15,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,18371,0,0,0,659,0
2025-05-15,claude-3-5-sonnet-20241022,BcaveKey,Default,standard,≤ 200k,94378,808084,0,2782846,109326,0
2025-05-16,claude-3-5-sonnet-20241022,BcaveKey,Default,standard,≤ 200k,849,104006,0,319082,13319,0
2025-05-16,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,32667,0,0,0,1193,0
2025-05-19,claude-3-5-sonnet-20241022,BcaveKey,Default,standard,≤ 200k,59846,664801,0,3607365,82145,0
2025-05-19,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,328851,124287,0,1247549,46904,0
2025-05-20,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,40976,0,0,0,1102,0
2025-05-20,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,74643,116100,0,1145132,37680,0
2025-05-21,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,192820,0,0,0,7281,0
2025-05-21,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,56278,0,0,0,3084,0
2025-05-22,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,90780,0,0,0,4267,0
2025-05-22,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,287961,0,0,0,51274,0
2025-05-23,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,31844,0,0,0,6810,0
2025-05-23,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,11843,0,0,0,5551,0
2025-05-23,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,2707,0,0,0,6736,0
2025-05-24,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,77484,0,0,0,1499,0
2025-05-26,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,13198,0,0,0,533,0
2025-05-26,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,4904,0,0,0,1341,0
2025-05-26,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,2105,0,0,0,523,0
2025-05-27,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,9886,0,0,0,917,0
2025-05-28,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,18517,0,0,0,821,0
2025-05-29,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,36318,0,0,0,1315,0
2025-05-29,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,4561,0,0,0,1963,0
2025-05-30,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,4246,0,0,0,219,0
2025-05-30,claude-3-5-sonnet-20241022,BcaveKey,Default,standard,≤ 200k,13285,19277,0,5195,672,0
2025-05-30,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,183,63568,0,0,475,0
