usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count
2025-08-01,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,66747,0,0,0,9481,0
2025-08-04,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,61523,0,0,0,3191,0
2025-08-05,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,23502,0,0,0,612,0
2025-08-05,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,537843,0,0,0,12651,0
2025-08-06,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,1218037,0,0,0,57460,0
2025-08-07,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,54131,0,0,0,1316,0
2025-08-08,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,370612,0,0,0,8307,0
2025-08-12,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,86383,0,0,0,11009,0
2025-08-14,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,23207,0,0,0,573,0
2025-08-15,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,34832,0,0,0,3211,0
2025-08-15,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,33305,0,0,0,2017,0
2025-08-16,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,210937,0,0,0,22763,0
2025-08-16,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,12116,0,0,0,1700,0
2025-08-17,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,31330,0,0,0,647,0
2025-08-18,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,31732,0,0,0,1652,0
2025-08-18,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,1167606,0,0,0,7482,0
2025-08-20,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,1093630,0,0,0,19629,0
2025-08-21,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,67587,0,0,0,8716,0
2025-08-21,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,29006,0,0,0,1171,0
2025-08-22,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,13637,0,0,0,1318,0
2025-08-23,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,15414,0,0,0,2117,0
2025-08-24,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,68758,0,0,0,7591,0
2025-08-25,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,64450,0,0,0,2290,0
2025-08-26,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,2054,0,0,0,332,0
2025-08-26,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,23056,0,0,0,792,0
2025-08-27,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,3816,0,0,0,1157,0
2025-08-27,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,156061,0,0,0,4723,0
2025-08-28,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,213412,0,0,0,5217,0
