usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count
2025-04-01,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,25422,0,0,0,7312,0
2025-04-02,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,20611,0,0,0,7601,0
2025-04-04,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,24233,0,0,0,5143,0
2025-04-05,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,13337,0,0,0,1381,0
2025-04-06,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,2591,0,0,0,181,0
2025-04-07,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,124296,0,0,0,12104,0
2025-04-08,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,30044,0,0,0,3610,0
2025-04-09,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,335949,0,0,0,28142,0
2025-04-10,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,119493,0,0,0,26288,0
2025-04-11,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,1496,0,0,0,2168,0
2025-04-14,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,19822,0,0,0,6096,0
2025-04-15,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,3654,0,0,0,1644,0
2025-04-16,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,345619,0,0,0,25428,0
2025-04-17,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,263334,0,0,0,30955,0
2025-04-18,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,313058,0,0,0,27741,0
2025-04-20,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,4676,0,0,0,1274,0
2025-04-21,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,108606,0,0,0,21844,0
2025-04-22,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,47944,0,0,0,1030,0
2025-04-22,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,26387,0,0,0,984,0
2025-04-23,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,49143,0,0,0,2280,0
2025-04-24,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,169016,0,0,0,21011,0
2025-04-25,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,17598,0,0,0,4199,0
2025-04-27,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,4550,0,0,0,23,0
2025-04-28,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,39212,0,0,0,914,0
2025-04-29,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,15510,0,0,0,830,0
2025-04-29,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,284499,0,0,0,36190,0
2025-04-30,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,167909,0,0,0,12196,0
