usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count
2025-11-03,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,4424,0,0,0,981,0
2025-11-03,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,1100045,0,0,0,39868,0
2025-11-04,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,6006,0,0,0,393,0
2025-11-04,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,840348,0,0,0,29435,0
2025-11-05,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,47052,0,0,0,1360,0
2025-11-06,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,5559,0,0,0,205,0
2025-11-06,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,1065463,0,0,0,44483,0
2025-11-07,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,1000300,0,0,0,65502,0
2025-11-08,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,888581,0,0,0,12486,0
2025-11-10,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,370752,0,0,0,3172,0
2025-11-10,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,4950048,0,0,0,112351,0
2025-11-11,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,1733392,0,0,0,70890,0
2025-11-13,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,1840,0,0,0,834,0
2025-11-13,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,47297,0,0,0,2908,0
2025-11-14,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,64009,0,0,0,6411,0
2025-11-17,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,8364,0,0,0,2036,0
2025-11-17,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,37378,0,0,0,4426,0
2025-11-18,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,5171,0,0,0,1343,0
2025-11-19,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,36871,0,0,0,4465,0
2025-11-20,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,22603,0,0,0,579,0
2025-11-20,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,416230,0,0,0,11664,0
2025-11-21,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,522302,0,0,0,20021,0
2025-11-24,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,1333614,0,0,0,29807,0
2025-11-25,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,979224,0,0,0,47776,0
2025-11-26,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,96315,0,0,0,2435,0
2025-11-27,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,23504,0,0,0,967,0
2025-11-27,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,330929,0,0,0,9675,0
2025-11-30,claude-sonnet-4-5-20250929,BcaveKey,Default,standard,≤ 200k,492484,0,0,0,30783,0
