usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count
2025-06-02,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,55952,0,0,0,3074,0
2025-06-02,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,484766,0,0,0,54053,0
2025-06-04,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,259813,0,0,0,12659,0
2025-06-05,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,10855,0,0,0,2227,0
2025-06-05,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,67880,0,0,0,4576,0
2025-06-07,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,86118,0,0,0,4203,0
2025-06-09,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,19194,0,0,0,676,0
2025-06-09,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,4062,0,0,0,1305,0
2025-06-10,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,94966,0,0,0,2440,0
2025-06-10,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,79012,600167,0,2885882,35568,0
2025-06-16,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,35133,0,0,0,7902,0
2025-06-18,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,1273,0,0,0,178,0
2025-06-18,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,2842,0,0,0,621,0
2025-06-19,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,12817,0,0,0,3806,0
2025-06-19,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,42756,0,0,0,7815,0
2025-06-20,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,55084,0,0,0,2408,0
2025-06-20,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,23131,0,0,0,4277,0
2025-06-20,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,2731,0,0,0,660,0
2025-06-20,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,361025,0,0,0,31973,0
2025-06-21,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,9205,0,0,0,620,0
2025-06-23,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,4673,0,0,0,397,0
2025-06-23,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,4725,0,0,0,1219,0
2025-06-24,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,63418,0,0,0,1660,0
2025-06-24,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,6335,0,0,0,908,0
2025-06-25,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,1604,0,0,0,228,0
2025-06-26,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,79330,0,0,0,11995,0
2025-06-27,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,80860,0,0,0,6072,0
2025-06-29,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,27696,0,0,0,3062,0
2025-06-30,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,41566,0,0,0,1348,0
2025-06-30,claude-3-opus-20240229,BcaveKey,Default,standard,≤ 200k,19,0,0,0,13,0
2025-06-30,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,54182,0,0,0,7141,0
