usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,cost_type
2025-11-03,Claude Opus 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.07,token
2025-11-03,Claude Opus 4,Default,BcaveKey,message,≤ 200k,output,0.07,token
2025-11-03,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,3.30,token
2025-11-03,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.60,token
2025-11-04,Claude Opus 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.09,token
2025-11-04,Claude Opus 4,Default,BcaveKey,message,≤ 200k,output,0.03,token
2025-11-04,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,2.52,token
2025-11-04,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.44,token
2025-11-05,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.14,token
2025-11-05,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.02,token
2025-11-06,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.02,token
2025-11-06,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.00,token
2025-11-06,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,3.20,token
2025-11-06,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.67,token
2025-11-07,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,3.00,token
2025-11-07,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.98,token
2025-11-08,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,2.67,token
2025-11-08,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.19,token
2025-11-10,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,1.11,token
2025-11-10,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.05,token
2025-11-10,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,14.85,token
2025-11-10,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,1.69,token
2025-11-11,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,5.20,token
2025-11-11,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,1.06,token
2025-11-13,Claude Opus 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.03,token
2025-11-13,Claude Opus 4,Default,BcaveKey,message,≤ 200k,output,0.06,token
2025-11-13,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.05,token
2025-11-13,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.09,token
2025-11-13,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.04,token
2025-11-14,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.19,token
2025-11-14,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.10,token
2025-11-17,Claude Opus 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.13,token
2025-11-17,Claude Opus 4,Default,BcaveKey,message,≤ 200k,output,0.15,token
2025-11-17,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.11,token
2025-11-17,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.07,token
2025-11-18,Claude Opus 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.08,token
2025-11-18,Claude Opus 4,Default,BcaveKey,message,≤ 200k,output,0.10,token
2025-11-19,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.11,token
2025-11-19,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.07,token
2025-11-20,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.07,token
2025-11-20,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.01,token
2025-11-20,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,1.25,token
2025-11-20,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.17,token
2025-11-21,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,1.57,token
2025-11-21,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.30,token
2025-11-24,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,4.00,token
2025-11-24,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.45,token
2025-11-25,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,2.94,token
2025-11-25,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.72,token
2025-11-26,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.29,token
2025-11-26,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.04,token
2025-11-27,Claude Opus 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.35,token
2025-11-27,Claude Opus 4,Default,BcaveKey,message,≤ 200k,output,0.07,token
2025-11-27,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.99,token
2025-11-27,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.15,token
2025-11-30,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,input_no_cache,1.48,token
2025-11-30,Claude Sonnet 4.5,Default,BcaveKey,message,≤ 200k,output,0.46,token
