usage_date_utc,model_version,api_key,workspace,usage_type,context_window,usage_input_tokens_no_cache,usage_input_tokens_cache_write_5m,usage_input_tokens_cache_write_1h,usage_input_tokens_cache_read,usage_output_tokens,web_search_count
2025-07-01,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,196983,544772,0,2809543,75155,0
2025-07-02,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,28466,388438,0,1859804,72115,0
2025-07-03,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,9469,0,0,0,548,0
2025-07-03,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,10025,132053,0,1580210,27294,0
2025-07-04,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,1051,0,0,0,492,0
2025-07-07,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,10645,0,0,0,2042,0
2025-07-08,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,68632,0,0,0,2416,0
2025-07-08,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,10686,0,0,0,1553,0
2025-07-08,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,9148,0,0,0,1868,0
2025-07-09,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,670,29141,0,103774,14873,0
2025-07-10,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,83645,0,0,0,2043,0
2025-07-10,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,6286,57887,0,287358,7040,0
2025-07-11,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,47128,0,0,0,2276,0
2025-07-11,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,869,0,0,0,803,0
2025-07-14,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,16644,0,0,0,1769,0
2025-07-14,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,3826,0,0,0,2556,0
2025-07-15,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,19248,0,0,0,791,0
2025-07-15,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,38420,0,0,0,7226,0
2025-07-16,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,95438,0,0,0,16354,0
2025-07-18,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,40778,0,0,0,1851,0
2025-07-18,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,52362,0,0,0,7919,0
2025-07-22,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,2025918,0,0,0,137836,0
2025-07-23,claude-3-5-haiku-20241022,BcaveKey,Default,standard,≤ 200k,16545,0,0,0,1433,0
2025-07-23,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,22532,0,0,0,1661,0
2025-07-23,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,799302,0,0,0,103678,0
2025-07-24,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,155203,0,0,0,16304,0
2025-07-24,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,1571,0,0,0,212,0
2025-07-28,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,66360,0,0,0,7406,0
2025-07-28,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,93963,0,0,0,12139,0
2025-07-29,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,152269,0,0,0,8683,0
2025-07-29,claude-opus-4-20250514,BcaveKey,Default,standard,≤ 200k,49081,0,0,0,9596,0
2025-07-30,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,82810,0,0,0,5437,0
2025-07-31,claude-3-7-sonnet-20250219,BcaveKey,Default,standard,≤ 200k,57801,0,0,0,5145,0
2025-07-31,claude-sonnet-4-20250514,BcaveKey,Default,standard,≤ 200k,435663,0,0,0,2816,0
