usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,cost_type
2025-07-01,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.59,token
2025-07-01,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_cache_write_5m,2.04,token
2025-07-01,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_cache_read,0.84,token
2025-07-01,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,1.13,token
2025-07-02,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.09,token
2025-07-02,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_cache_write_5m,1.46,token
2025-07-02,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_cache_read,0.56,token
2025-07-02,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,1.08,token
2025-07-03,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.03,token
2025-07-03,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.01,token
2025-07-03,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.03,token
2025-07-03,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_cache_write_5m,0.50,token
2025-07-03,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_cache_read,0.47,token
2025-07-03,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.41,token
2025-07-04,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.00,token
2025-07-04,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.01,token
2025-07-07,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.01,token
2025-07-07,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,output,0.01,token
2025-07-08,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.05,token
2025-07-08,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,output,0.01,token
2025-07-08,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.03,token
2025-07-08,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.02,token
2025-07-08,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.03,token
2025-07-08,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.03,token
2025-07-09,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.00,token
2025-07-09,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_cache_write_5m,0.11,token
2025-07-09,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_cache_read,0.03,token
2025-07-09,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.22,token
2025-07-10,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.25,token
2025-07-10,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.03,token
2025-07-10,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.02,token
