usage_date_utc,model,workspace,api_key,usage_type,context_window,token_type,cost_usd,cost_type
2025-06-02,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.04,token
2025-06-02,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,output,0.01,token
2025-06-02,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,1.45,token
2025-06-02,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.81,token
2025-06-04,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.78,token
2025-06-04,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.19,token
2025-06-05,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.01,token
2025-06-05,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,output,0.01,token
2025-06-05,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.20,token
2025-06-05,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.07,token
2025-06-07,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.26,token
2025-06-07,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,output,0.06,token
2025-06-09,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,input_no_cache,0.02,token
2025-06-09,Claude Haiku 3.5,Default,BcaveKey,message,≤ 200k,output,0.00,token
2025-06-09,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.01,token
2025-06-09,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.02,token
2025-06-10,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,input_no_cache,0.28,token
2025-06-10,Claude Sonnet 3.7,Default,BcaveKey,message,≤ 200k,output,0.04,token
2025-06-10,Claude Sonnet 4,Default,BcaveKey,message,≤ 200k,input_no_cache,0.24,token
